timestamp,angle
22250000000,5.56398788376e-07
22315000000,-5.5469979543e-07
22349000000,-5.54679502329e-07
22415000000,-5.54778466721e-07
22449000000,-5.54710027245e-07
22483000000,-5.54679274956e-07
22549000000,-0.000312706455588
22583000000,0.000318692211295
22650000000,-1.47467408169e-05
22715000000,-8.27493840916e-06
22749000000,-6.20418950348e-06
22815000000,-3.11674284603e-06
22850000000,-2.11182714338e-06
22916000000,-1.00401314285e-06
22982000000,-5.55465874186e-07
23082000000,5.54910684514e-07
23149000000,-5.55184328732e-07
23183000000,-5.54799498786e-07
23249000000,-5.54860434931e-07
23315000000,-5.55156702831e-07
23349000000,5.56055795187e-07
23383000000,5.55414885639e-07
23515000000,-5.54764540084e-07
23550000000,5.5610206573e-07
23615000000,-5.54825305699e-07
23649000000,-5.54770394956e-07
23849000000,-3.32435120072e-05
23915000000,-1.17858180602e-05
23949000000,-8.15997282189e-06
24016000000,-3.85109160561e-06
24082000000,-1.8066461962e-06
24116000000,-1.24490895814e-06
24182000000,-6.01395754529e-07
24249000000,-5.56552549824e-07
24315000000,-1.26614065721e-06
24349000000,-9.57767497312e-07
24415000000,-5.82463371757e-07
24449000000,0.000145770682138
24483000000,0.000107742169348
24549000000,-3.34434275828e-06
24616000000,1.42761473398e-05
24650000000,9.76246064965e-06
24715000000,4.81515189676e-06
24750000000,3.25210658048e-06
24815000000,1.55417706083e-06
24849000000,1.06042341486e-06
24916000000,5.74155080812e-07
25115000000,5.72874057525e-07
25149000000,5.73389911551e-07
25215000000,-5.73369220547e-07
25250000000,-5.74432931444e-07
25315000000,-5.74544344545e-07
25350000000,-5.73882402932e-07
25415000000,-0.000110966786451
25449000000,0.000209546240512
25483000000,1.55796733452e-05
25549000000,-1.05209414869e-06
25615000000,6.4872360781e-06
25650000000,4.89062085762e-06
25715000000,2.03340664484e-06
25749000000,1.367541131e-06
25815000000,6.00422538355e-07
25849000000,-5.54851681045e-07
25915000000,-5.54867938263e-07
25950000000,5.54832183752e-07
26016000000,-5.55214739961e-07
26082000000,-5.54802909392e-07
26150000000,1.71538413269e-05
26216000000,-0.000214572180994
26250000000,-1.00996085166e-05
26315000000,-1.14243425742e-06
26350000000,3.26665599459e-06
26415000000,1.19736444049e-06
26449000000,8.73056762885e-07
26515000000,5.55060580609e-07
26549000000,-5.51961818474e-07
26615000000,5.69535529849e-07
26650000000,5.47273657503e-07
26716000000,5.48628008801e-07
26782000000,-5.47089769043e-07
26849000000,5.47139279661e-07
26915000000,-5.46249339095e-07
26950000000,-5.45176703781e-07
27015000000,5.43393241514e-07
27050000000,5.42355223843e-07
27116000000,5.42312022844e-07
27183000000,5.4054140719e-07
27249000000,-5.37055086625e-07
27315000000,-0.000236917985603
27349000000,5.95174969931e-05
27383000000,-1.38876148412e-05
27449000000,4.84814245283e-06
27515000000,7.80440643666e-07
27615000000,5.20313108154e-07
27649000000,5.22706727679e-07
27715000000,-5.20705327745e-07
27815000000,5.25421569364e-07
27849000000,5.2712920251e-07
27915000000,-5.3138256817e-07
27949000000,5.32077706339e-07
28016000000,-5.36908771664e-07
28082000000,-5.37768869435e-07
28215000000,8.47763840284e-06
28249000000,3.30962120643e-06
28316000000,1.61148375355e-06
28350000000,1.00142892734e-06
28415000000,5.52535482257e-07
28449000000,5.51431128315e-07
28483000000,5.5204822047e-07
28549000000,-5.54283360543e-07
28615000000,-5.55494239052e-07
28650000000,-5.55354745302e-07
